iter,time,reward,steps,convergence
1,0.34972125599999515,-299.0,300.0,83.8935897024
2,0.5310328099999921,-299.0,300.0,64.54686087513427
3,0.7026908709999944,-299.0,300.0,64.90671565307396
4,0.8690465309999951,-302.96,299.48,67.83331691562178
5,1.1810723319999923,-246.86,255.44,60.878454959382175
6,1.3819069209999952,-17.45,76.39,60.7014193803643
7,1.5628752880000008,5.34,55.89,58.70698194709867
8,1.7221399459999986,9.36,55.03,57.51784761080688
9,1.883093602999999,6.97,55.96,44.63914207720892
10,2.1619019700000024,14.49,61.88,39.26277213758527
11,2.3177014950000014,13.78,62.88,8.458157207062348
12,2.4700379120000022,5.41,63.41,6.964750719841577
13,2.7130772479999976,17.47,63.77,5.410413100370958
14,2.837744899999997,10.33,62.79,3.5440549666275754
15,2.932411636999994,7.22,63.33,1.536893765175165
16,2.954126649999992,12.66,65.04,0.00029258457328573684
17,2.975203263999994,9.05,63.38,0.0001006207804259418
18,3.0139572419999965,11.92,62.6,3.601798063357364e-05
19,3.0348733339999967,12.19,63.27,1.3362076973777448e-05
20,3.062047562999993,15.06,63.15,5.113636195375193e-06
21,3.0876732599999883,11.65,63.55,2.009632170896225e-06
22,3.108537472999984,11.89,62.81,8.077490267766052e-07
