iter,time,reward,steps,shape
2,0.10390441800000005,95.86,6.14,3
3,0.09876750500000009,93.2,8.8,4
3,0.14842814700000018,90.71,11.29,5
3,0.22104327700000015,84.93,17.07,7
4,0.3854406369999994,77.07,24.93,10
6,0.8297546259999997,63.13,38.87,15
7,1.9535001790000006,49.68,52.32,20
8,3.629661176999999,37.07,64.93,25
8,5.133542627000004,24.18,77.82,30
10,7.9128430949999995,10.87,91.13,35
11,14.525619694,-2.76,104.76,40
2,0.10536059400000009,95.58,6.42,3
3,0.107553695,92.8,9.2,4
3,0.1117997449999999,90.55,11.45,5
3,0.21011644500000015,85.35,16.65,7
4,0.251530786,77.29,24.71,10
6,0.792260164,63.62,38.38,15
7,1.8738291599999997,49.6,52.4,20
8,3.369876293000001,37.73,64.27,25
8,4.821633377000001,23.47,78.53,30
10,7.665907969999999,9.47,92.53,35
11,13.778754184999997,-3.03,105.03,40
13,24.52465192800001,-29.4,131.4,50
