iter,time,reward,steps,shape
263,0.14219892499999998,95.81,6.19,3
360,0.12695033700000002,92.91,9.09,4
371,0.17634944500000005,90.34,11.66,5
629,0.31411400600000006,85.15,16.85,7
1168,0.4586065530000001,76.4,25.6,10
1582,0.5638912099999995,62.93,39.07,15
2217,1.2226681989999992,49.18,52.82,20
3017,2.3072894690000005,36.11,65.89,25
3507,3.5236713859999966,23.98,78.02,30
4805,5.486246797000007,7.97,94.03,35
5452,9.681606893999998,-4.1,106.1,40
184,0.10691331400000004,95.64,6.36,3
295,0.09343885399999996,92.7,9.3,4
481,0.18314299200000006,89.96,12.04,5
614,0.1667869369999999,85.24,16.76,7
1050,0.2562891159999996,77.45,24.55,10
1614,0.6734324589999998,62.97,39.03,15
2038,1.0407975560000011,50.57,51.43,20
2732,1.9218138539999998,36.9,65.1,25
3473,3.189643098999994,21.59,80.41,30
4353,4.9116277680000024,8.35,93.65,35
5038,7.540265058000003,-5.8,107.8,40
10,0.1527033250000045,-3999.0,4000.0,50
