iter,time,reward,steps,shape
18,0.15722375600000005,95.55,6.45,3
22,0.1862518900000001,93.22,8.78,4
26,0.14269730999999997,90.26,11.74,5
30,0.2937273570000003,85.41,16.59,7
35,0.5012058919999998,76.9,25.1,10
43,1.0726956540000003,64.05,37.95,15
51,2.1356376059999995,51.24,50.76,20
65,3.4419617920000007,36.61,65.39,25
69,5.082963517,23.98,78.02,30
78,7.707828518999996,9.39,92.61,35
90,11.545205124999995,-3.35,105.35,40
18,0.13035752500000003,95.43,6.57,3
22,0.17276194300000003,93.34,8.66,4
26,0.13778407500000012,90.67,11.33,5
30,0.28352177199999984,85.31,16.69,7
35,0.3715396590000002,75.55,26.45,10
43,0.783887751,64.04,37.96,15
51,2.030798043999999,51.3,50.7,20
65,3.095178409999999,38.11,63.89,25
69,4.675408153999999,23.5,78.5,30
78,7.1897741970000055,10.73,91.27,35
90,12.144397584000004,-2.41,104.41,40
107,20.515343631000007,-29.94,131.94,50
